kepid,mass,radius,teff,bp_rp,rrmscdpp04p5
10098701,0.764,1.1486944,5227.91,1.0224113,71.944
10098760,0.781,0.7490548,4918.203,1.1794481,102.967
10098887,0.851,1.0226889,4995,1.1564026,341.577
10098952,0.753,0.6272347,4854,1.3897076,160.025
10123050,0.774,0.640142,5051,1.2666874,205.209
10123220,1.246,1.3478602,6261.35,0.72103405,57.925
10123343,1.081,1.1047827,5767,0.8413305,127.583
10001733,0.719,0.60176265,4820,1.3750544,133.364
10001808,0.949,0.85507447,5348,0.98532677,155.131
10001866,0.792,0.9261217,5335.1,0.97182274,104.086
10001933,1.05,1.2350363,5829,0.8241329,137.93
10005690,0.966,1.0989666,5762,0.8676443,73.98
10005692,1.102,0.8667936,5744,0.8730688,181.325
10005714,1.327,1.2592896,5672,0.867136,64.339
10005745,1.066,1.0730532,5812.3335,0.8407078,190.221
10005758,0.996,1.213702,5890,0.79355145,66.955
10005761,0.985,0.970796,5440,0.9287853,124.385
10005770,1.05,1.2570662,5935.67,0.79316807,119.284
10005772,1.058,0.9817605,5850.3335,0.7979431,83.433
10005788,0.573,0.6517236,4314,1.5581245,195.569
10005819,1.01,1.2400193,5925,0.82767296,121.125
10005956,1.064,1.286411,5977,0.7426548,29.852
10014880,0.931,0.87387675,4946.6665,1.2167435,184.103
10014922,0.917,0.94777244,5041.465,1.0382528,162.054
10014954,1.104,1.2469932,5791,0.834322,99.625
10015286,0.806,0.6812912,4862,1.256999,241.131
10019281,0.82,0.72034514,4895.71,1.2293282,180.132
10019318,1.077,1.0134076,5815,0.8321953,82.844
10019347,1.235,1.3642474,6750.6997,0.729722,94.475
10019352,0.949,0.8500993,5328,1.0008402,215.27
10019358,0.979,1.013366,5477,0.9025593,48.933
10019364,1.32,1.635018,6371.5,0.666317,70.083
10019381,0.809,0.7237246,4883,1.1960573,271.235
10019405,0.973,1.1155369,5345.207,0.98981667,65.146
10025331,0.82,0.60266036,4902.8525,1.3692484,226.155
10025369,1.012,0.9519469,5149,1.013402,268.243
10025444,1.198,1.5195351,5787.5,0.8376665,156.697
10025454,0.765,0.7582394,5061,1.2242975,239.72
10029697,0.961,1.3051933,5335.1,0.9865627,199.773
10029815,1.026,0.9894311,5852.1934,0.9646349,164.129
10035558,0.541,0.7284259,4358,1.5944824,342.487
10035559,1.174,1.2505217,6003,0.74962807,34.286
10035775,0.586,0.661297,4382.3335,1.5174694,269.324
10053138,0.875,0.99979246,5375,0.9446697,77.878
10058368,1.472,1.5057346,6703.6665,0.6072645,61.671
10058374,0.83,1.0585659,5743.25,0.8251209,572.629
10058376,0.745,0.6957463,4714.7646,1.3742781,112.712
10058384,1.052,0.96536076,5861.5,0.8047104,48.385
10058479,1.132,1.4460045,5889,0.79630375,107.932
10058491,1.164,1.5559349,5985,0.78962326,49.982
10058496,1.114,1.1825347,5893,0.78721046,52.002
10058600,0.894,0.9243032,5464,0.90871525,49.967
10058656,1.023,1.5368044,5800.6665,0.8492594,122.243
10065591,1.207,1.2775278,5812,0.8281765,107.505
10065597,0.763,0.7970748,5090.7,1.103054,217.05
10065623,0.915,1.1112757,5728.6,0.8600941,89.51
10065638,1.086,1.1000055,5601,0.894577,200.491
10065641,1.139,1.6321682,6329,0.698966,45.813
10065675,0.781,0.74065703,4839.197,1.2645836,199.938
10065683,1.06,1.9312483,5760.88,0.7582655,75.898
10065700,1.004,1.4269093,5688.9927,0.85994434,117.201
10069808,0.822,0.5821534,5036.25,1.2788506,190.01
10069831,1.022,1.4727273,5983,0.7533207,47.263
10069844,1.04,1.2335024,5869.75,0.7839279,66.042
10069912,1.093,1.2977905,5744,0.8720932,148.128
10069993,1.094,1.0150505,5880.25,0.81079865,107.571
10079315,0.902,0.80702263,5329.6665,0.99099064,178.702
10079324,0.842,0.7695051,4904.76,1.1642895,225.639
10079397,0.975,1.0040004,5358,0.9686127,112.064
10083096,0.906,1.1419778,5088.3203,1.0541296,167.32
10083167,1.132,1.4176382,5345,0.95133686,226.862
10083199,0.958,1.0204443,5021.0303,1.0751762,248.631
10083203,0.809,0.5981093,4904,1.3961,251.11
10083247,1.031,1.3625149,5930.4766,0.8663969,83.671
10083254,0.938,1.1652627,5450.3335,0.9019003,110.766
10083287,1.252,1.4584082,6508.75,0.6441145,50.772
10089284,1.233,1.243341,5627.97,0.8810253,209.333
10089420,1.221,1.4607949,5461.6934,0.90792084,140.234
10089468,1.133,1.363617,5661.6177,0.86717606,32.353
10089471,1.117,1.3067136,5439,0.93093204,228.858
10092805,1.18,1.1528963,5773.0405,0.8377075,171.98
10092806,1.183,1.4467455,6131.5,0.77421284,171.731
10092834,1.232,1.4662694,5932.6997,0.80727863,117.617
10093428,0.734,0.7195549,4975.54,1.1157951,201.506
10098969,0.622,0.5754834,4249.25,1.6497049,197.586
10099397,0.962,0.93390137,5378.3335,0.9617691,159.379
10099612,0.91,0.7545679,4901,1.1755915,121.279
10099728,1.079,1.0062584,5796,0.8646574,98.876
10123523,0.875,0.82911605,5360,0.9683771,54.369
10123536,0.982,1.0729555,5796.6665,0.84808445,71.616
10123547,0.605,0.78327674,5085.617,1.060792,91.445
10123548,1.004,1.6209484,5891.3335,0.805213,123.118
10123560,0.916,1.2090098,5510.75,0.8752966,38.791
10123637,0.814,0.8410925,5353,0.97630215,49.873
10123664,0.801,0.89185363,5015.75,1.0863514,92.041
10001957,1.126,0.9081767,5724.8203,0.8746805,161.159
10001973,1.052,0.8935666,5441,0.91580486,173.542
10002066,1.233,1.3920503,5708.437,0.85524654,90.483
10002167,0.874,1.0769233,5126.915,1.0126143,177.68
10005961,1.226,1.3508161,6385.6665,0.721838,78.286
10006032,0.811,0.81757975,5000.75,1.1797876,196.374
10006096,0.773,0.9636028,5106.0947,1.0678148,220.629
10006127,0.854,0.814474,4883.25,1.1825113,260.542
10006164,0.83,0.8434376,4955.61,1.1023264,202.813
10006171,1.036,1.3213091,5465.25,0.9062729,126.868
10015379,0.87,1.0787303,5667.925,0.9271536,167.306
10015383,1.012,0.9968319,5447,0.9282255,95.691
10015438,0.495,0.6197974,4596.0947,1.4778376,242.535
10015450,1.058,1.1128756,5730.5,0.869544,188.563
10015467,0.884,0.88595974,5770,0.852417,56.3
10015543,1.02,1.2366701,5759,0.853508,118.713
10019418,0.961,0.9659076,5365.3335,0.95150185,185.836
10019421,1.061,1.3336419,5419.6665,0.9330387,132.68
10019532,1.017,0.960845,5755,0.8560753,32.399
10019643,0.882,0.944439,5385.75,0.9656296,94.672
10019644,1.165,0.9779704,5756,0.86252403,175.406
10025667,0.968,1.0365157,5360,0.965291,206.254
10025711,0.926,1.1327721,5085.27,1.0468988,192.049
10025746,0.903,0.92329973,5041,1.0676308,141.852
10025759,1.028,0.9841745,5411,0.9477854,161.589
10025805,1.045,0.93427324,5441.3335,0.9642229,224.938
10029838,1.021,1.1470186,5758,0.8667917,71.019
10029847,0.926,1.1870217,5337,0.9963684,181.301
10029853,0.917,0.81752944,4896.09,1.2027397,261.017
10029868,0.873,0.7893737,4958,1.1498337,170.12
10029881,0.79,0.8621655,4906,1.1058226,225.905
10029913,0.973,1.0552679,5463,0.91468716,109.743
10029943,0.864,0.61289114,4947,1.3512821,298.812
10029985,1.107,1.5891505,5834.75,0.81420517,63.306
10053344,1.366,1.4021165,5457.3335,0.91564465,42.577
10053499,1.493,1.1264431,6376,0.6668749,45.025
10053512,0.823,0.92899966,5071.61,1.0404301,98.446
